"ID","inchikey","sdftitle","order","set","CVfold","NR.AhR","NR.AR","NR.AR.LBD","NR.Aromatase","NR.ER","NR.ER.LBD","NR.PPAR.gamma","SR.ARE","SR.ATAD5","SR.HSE","SR.MMP","SR.p53"
"NCGC00096056-02","NYEPHMYJRNWPLA-UHFFFAOYSA-N","NCGC00096056-02",36,"training",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"NCGC00262929-01","KSGXQBZTULBEEQ-UHFFFAOYSA-N","NCGC00262929-01",37,"training",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00159441-03","OBATZBGFDSVCJD-LALPQLPRSA-N","NCGC00159441-03",38,"training",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00142623-04","WDJUZGPOPHTGOT-XUDUSOBPSA-N","NCGC00142623-04",39,"training",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00344555-01","MYEJFUXQJGHEQK-ALRJYLEOSA-N","NCGC00344555-01",40,"training",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00016258-06","MJVAVZPDRWSRRC-UHFFFAOYSA-N","NCGC00016258-06",41,"training",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"NCGC00159476-09","KVSKGMLNBAPGKH-UHFFFAOYSA-N","NCGC00159476-09",42,"training",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"NCGC00160275-03","ABLACSIRCKEUOB-UHFFFAOYSA-N","NCGC00160275-03",43,"training",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00166120-02","VUFOSBDICLTFMS-UHFFFAOYSA-M","NCGC00166120-02",44,"training",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"NCGC00016373-08","UREZNYTWGJKWBI-UHFFFAOYSA-M","NCGC00016373-08",45,"training",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"NCGC00016789-06","WYWSKWZUWZLELX-UHFFFAOYSA-M","NCGC00016789-06",46,"training",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"NCGC00018250-06","CRKGMGQUHDNAPB-UHFFFAOYSA-N","NCGC00018250-06",47,"training",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"NCGC00253588-01","UIVFUQKYVFCEKJ-OPTOVBNMSA-N","NCGC00253588-01",48,"training",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"NCGC00015096-17","IYIKLHRQXLHMJQ-UHFFFAOYSA-N","NCGC00015096-17",49,"training",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"NCGC00161420-06","MTJLQTFHJIHXIX-GDUXWEAWSA-N","NCGC00161420-06",50,"training",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00260347-01","NZFNXWQNBYZDAQ-UHFFFAOYSA-N","NCGC00260347-01",51,"training",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NCGC00166070-02","JZGHZXCZUAJOSA-UHFFFAOYSA-N","NCGC00166070-02",52,"training",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00167430-04","QXHHHPZILQDDPS-UHFFFAOYSA-N","NCGC00167430-04",53,"training",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"NCGC00016710-05","PMGQWSIVQFOFOQ-YKVZVUFRSA-N","NCGC00016710-05",54,"training",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00016059-13","KLBQZWRITKRQQV-UHFFFAOYSA-N","NCGC00016059-13",55,"training",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00161621-03","YVPXVXANRNDGTA-WDYNHAJCSA-N","NCGC00161621-03",56,"training",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00162179-08","NJMYODHXAKYRHW-DVZOWYKESA-N","NCGC00162179-08",57,"training",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00181782-03","GZKLJWGUPQBVJQ-UHFFFAOYSA-N","NCGC00181782-03",58,"training",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00263542-01","IZSFDUMVCVVWKW-UHFFFAOYSA-N","NCGC00263542-01",59,"training",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00167547-02","HZLCGUXUOFWCCN-UHFFFAOYSA-N","NCGC00167547-02",60,"training",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"NCGC00164631-05","GFZBJFWXHCSNPX-HBPAQXCTSA-N","NCGC00164631-05",61,"training",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00166245-04","YADYXCVYLIKQJX-UHFFFAOYSA-N","NCGC00166245-04",62,"training",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00253592-01","ZJTLZYDQJHKRMQ-UHFFFAOYSA-N","NCGC00253592-01",63,"training",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"NCGC00181767-03","MIQPIUSUKVNLNT-UHFFFAOYSA-N","NCGC00181767-03",64,"training",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00016345-08","HSHNITRMYYLLCV-UHFFFAOYSA-N","NCGC00016345-08",65,"training",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"NCGC00164283-07","LZZYPRNAOMGNLH-UHFFFAOYSA-M","NCGC00164283-07",66,"training",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00187943-02","YLPZVNXGKBIJBW-UHFFFAOYSA-M","NCGC00187943-02",67,"training",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00166247-02","QWYZFXLSWMXLDM-UHFFFAOYSA-M","NCGC00166247-02",68,"training",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"NCGC00179596-03","ZHPWRQIPPNZNML-UHFFFAOYSA-N","NCGC00179596-03",69,"training",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"NCGC00166146-02","PWZUUYSISTUNDW-VAFBSOEGSA-N","NCGC00166146-02",70,"training",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00261967-01","SBQAKZYUNWNIRL-WIPKXTQKSA-N","NCGC00261967-01",71,"training",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00018254-08","OCAPBUJLXMYKEJ-UHFFFAOYSA-N","NCGC00018254-08",72,"training",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"NCGC00182055-03","OMZAMQFQZMUNTP-UHFFFAOYSA-N","NCGC00182055-03",73,"training",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"NCGC00166290-03","ONJQDTZCDSESIW-UHFFFAOYSA-N","NCGC00166290-03",74,"training",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"NCGC00167490-03","DYLGFOYVTXJFJP-MYYYXRDXSA-N","NCGC00167490-03",75,"training",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00016622-08","MFZWMTSUNYWVBU-UHFFFAOYSA-N","NCGC00016622-08",76,"training",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00015838-06","ZFWVWZODBGTOIL-UHFFFAOYSA-N","NCGC00015838-06",77,"training",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00025187-02","ZWHRZGHGYMUSRM-VWDRLOGHSA-N","NCGC00025187-02",78,"training",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00186653-01","BXDAOUXDMHXPDI-UHFFFAOYSA-N","NCGC00186653-01",79,"training",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00025302-02","JFPPLMAMMZZOEA-UHFFFAOYSA-N","NCGC00025302-02",80,"training",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"NCGC00262908-01","POPOYOKQQAEISW-UHFFFAOYSA-N","NCGC00262908-01",81,"training",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"NCGC00015619-13","JCCNYMKQOSZNPW-UHFFFAOYSA-N","NCGC00015619-13",82,"training",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"NCGC00179642-03","MPIPASJGOJYODL-UHFFFAOYSA-N","NCGC00179642-03",83,"training",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"NCGC00013683-06","WSPOMRSOLSGNFJ-VGOFMYFVSA-N","NCGC00013683-06",84,"training",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00015563-13","BCGWQEUPMDMJNV-UHFFFAOYSA-N","NCGC00015563-13",85,"training",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00179536-02","JQXXHWHPUNPDRT-WLSIYKJHSA-N","NCGC00179536-02",86,"training",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00160483-02","DOUQJBPSTIKRPH-UHFFFAOYSA-N","NCGC00160483-02",87,"training",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00016913-14","GXDALQBWZGODGZ-UHFFFAOYSA-N","NCGC00016913-14",88,"training",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00167729-03","ILNRQFBVVQUOLP-UHFFFAOYSA-N","NCGC00167729-03",89,"training",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"NCGC00015856-10","DSKIOWHQLUWFLG-SPIKMXEPSA-N","NCGC00015856-10",90,"training",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00181016-04","NAVMQTYZDKMPEU-UHFFFAOYSA-N","NCGC00181016-04",91,"training",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"NCGC00274067-01","XDXWLKQMMKQXPV-HPNDGRJYSA-N","NCGC00274067-01",92,"training",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"NCGC00263543-01","OGWKCGZFUXNPDA-XQKSVPLYSA-N","NCGC00263543-01",93,"training",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00263581-01","ICMWWNHDUZJFDW-DHODBPELSA-N","NCGC00263581-01",94,"training",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"NCGC00095264-04","WDFKMLRRRCGAKS-UHFFFAOYSA-N","NCGC00095264-04",95,"training",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"NCGC00253604-01","MMUMZMIKZXSFSD-ADSVITMPSA-N","NCGC00253604-01",96,"training",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00025349-05","VMWNQDUVQKEIOC-CYBMUJFWSA-N","NCGC00025349-05",97,"training",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"NCGC00344543-01","KMSKQZKKOZQFFG-YXRRJAAWSA-N","NCGC00344543-01",98,"training",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00015826-13","RGCVKNLCSQQDEP-UHFFFAOYSA-N","NCGC00015826-13",99,"training",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00160664-03","RJIWZDNTCBHXAL-UHFFFAOYSA-N","NCGC00160664-03",100,"training",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"NCGC00018258-10","DDXORDQKGIZAME-UHFFFAOYSA-N","NCGC00018258-10",101,"training",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"NCGC00179676-03","YNVGQYHLRCDXFQ-JBKQDOAHSA-N","NCGC00179676-03",102,"training",1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"NCGC00095169-05","PQLXHQMOHUQAKB-UHFFFAOYSA-N","NCGC00095169-05",103,"training",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00249921-01","JMFOSJNGKJCTMJ-ZHZULCJRSA-N","NCGC00249921-01",104,"training",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"NCGC00344561-01","KIQQMECNKUGGKA-NMYWJIRASA-N","NCGC00344561-01",105,"training",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"NCGC00181129-06","ZBNZXTGUTAYRHI-UHFFFAOYSA-N","NCGC00181129-06",106,"training",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00095196-06","MPMFCABZENCRHV-UHFFFAOYSA-N","NCGC00095196-06",107,"training",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00159449-04","WHLUQAYNVOGZST-UHFFFAOYSA-N","NCGC00159449-04",108,"training",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"NCGC00161602-06","RUYHIJHUVHIMIR-CVHRZJFOSA-N","NCGC00161602-06",109,"training",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00017323-08","XMEVHPAGJVLHIG-FMZCEJRJSA-N","NCGC00017323-08",110,"training",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00262926-01","FIAGYDIJZOWVAB-UHFFFAOYSA-N","NCGC00262926-01",111,"training",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"NCGC00166142-04","OWULVAZDMWJBLB-UHFFFAOYSA-N","NCGC00166142-04",112,"training",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00165740-05","VPSRQEHTHIMDQM-FKLPMGAJSA-N","NCGC00165740-05",113,"training",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"NCGC00091195-08","ACGUYXCXAPNIKK-UHFFFAOYSA-N","NCGC00091195-08",114,"training",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"NCGC00160556-02","NEMNPWINWMHUMR-UHFFFAOYSA-N","NCGC00160556-02",115,"training",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"NCGC00159417-05","XEFQLINVKFYRCS-UHFFFAOYSA-N","NCGC00159417-05",116,"training",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"NCGC00164034-05","ICUTUKXCWQYESQ-UHFFFAOYSA-N","NCGC00164034-05",117,"training",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00164581-02","FRPJXPJMRWBBIH-RBRWEJTLSA-N","NCGC00164581-02",118,"training",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00015254-20","QZUDBNBUXVUHMW-UHFFFAOYSA-N","NCGC00015254-20",119,"training",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00024778-02","QSQQPMHPCBLLGX-UHFFFAOYSA-N","NCGC00024778-02",120,"training",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00024379-16","AUVVAXYIELKVAI-CKBKHPSWSA-N","NCGC00024379-16",121,"training",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00163468-05","NWIBSHFKIJFRCO-WUDYKRTCSA-N","NCGC00163468-05",122,"training",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00025060-15","FBOZXECLQNJBKD-ZDUSSCGKSA-N","NCGC00025060-15",123,"training",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00263568-01","CILBMBUYJCWATM-UDRBCWGGSA-N","NCGC00263568-01",124,"training",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00016786-15","HPNSFSBZBAHARI-RUDMXATFSA-N","NCGC00016786-15",125,"training",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00091120-13","DDUHZTYCFQRHIY-RBHXEPJQSA-N","NCGC00091120-13",126,"training",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00169964-05","YPHMISFOHDHNIV-FSZOTQKASA-N","NCGC00169964-05",127,"training",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00263539-01","MVWVFYHBGMAFLY-UHFFFAOYSA-N","NCGC00263539-01",128,"training",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"NCGC00015774-06","BAINIUMDFURPJM-UHFFFAOYSA-N","NCGC00015774-06",129,"training",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00015718-12","HRRBJVNMSRJFHQ-UHFFFAOYSA-N","NCGC00015718-12",130,"training",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00160566-02","BNACJQWJZKPAPV-UHFFFAOYSA-N","NCGC00160566-02",131,"training",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"NCGC00160554-02","RPAJWWXZIQJVJF-UHFFFAOYSA-N","NCGC00160554-02",132,"training",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"NCGC00258497-01","TXUZVZSFRXZGTL-QPLCGJKRSA-N","NCGC00258497-01",133,"training",NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"NCGC00159458-05","FQCKMBLVYCEXJB-MNSAWQCASA-L","NCGC00159458-05",134,"training",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00160590-03","NPUZIGSOEWMFKK-UHFFFAOYSA-N","NCGC00160590-03",135,"training",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00263480-01","PSGAAPLEWMOORI-PEINSRQWSA-N","NCGC00263480-01",136,"training",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00163125-06","ORNBQBCIOKFOEO-QGVNFLHTSA-N","NCGC00163125-06",137,"training",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00164139-03","IYAZLDLPUNDVAG-UHFFFAOYSA-N","NCGC00164139-03",138,"training",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00017324-07","RYMZZMVNJRMUDD-HGQWONQESA-N","NCGC00017324-07",139,"training",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"NCGC00159462-04","NCDNCNXCDXHOMX-XGKFQTDJSA-N","NCGC00159462-04",140,"training",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00182059-03","BQSJTQLCZDPROO-UHFFFAOYSA-N","NCGC00182059-03",141,"training",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00015155-11","UIEATEWHFDRYRU-UHFFFAOYSA-N","NCGC00015155-11",142,"training",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00167500-02","HQMNCQVAMBCHCO-DJRRULDNSA-N","NCGC00167500-02",143,"training",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"NCGC00091585-05","FMJSMJQBSVNSBF-UHFFFAOYSA-N","NCGC00091585-05",144,"training",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00182850-02","JRTIDHTUMYMPRU-UHFFFAOYSA-N","NCGC00182850-02",145,"training",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00262942-01","NFYYMNADTASPEE-UHFFFAOYSA-N","NCGC00262942-01",146,"training",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00178069-05","UNPLRYRWJLTVAE-UHFFFAOYSA-N","NCGC00178069-05",147,"training",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00250401-02","LGMSNQNWOCSPIK-LWHGMNCYSA-N","NCGC00250401-02",148,"training",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"NCGC00182060-03","JMUPNNYLJGSMPK-JPJJPTBZSA-N","NCGC00182060-03",149,"training",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
